wood_type,moisture,quantity,transport_cost,season,demand,price
Sal,10,500,2000,Winter,High,9000
Teak,8,700,2500,Summer,High,11000
Bamboo,18,300,1200,Monsoon,Low,5200
Neem,15,450,1800,Winter,Medium,7600
Mango,12,400,1700,Summer,Medium,7000
Coconut,20,350,1300,Monsoon,Low,4800
Mix,14,600,2200,Winter,High,8500
Mahogany,9,550,2400,Summer,High,10500
Acacia,12,650,2300,Winter,High,4600
Rubberwood,14,550,1800,Monsoon,Medium,4100
Pine,9,600,1900,Winter,Medium,4500
Eucalyptus,13,700,2000,Summer,High,4300
Bamboo,15,450,1600,Monsoon,Medium,3900
Jackfruit,10,500,2200,Summer,Medium,4450
Gamhar,12,600,2100,Winter,Medium,4250
Shisham,9,750,2900,Winter,High,4850
Ash,8,500,2700,Summer,High,4750
Birch,11,450,2500,Winter,Medium,4400
Cedar,10,400,2600,Summer,Medium,4550
Poplar,15,800,1700,Monsoon,Low,3850
Arjun,12,650,2200,Summer,Medium,4350
Siris,13,500,1900,Monsoon,Low,4050
Albizia,11,550,2050,Winter,Medium,4200
Rosewood,8,350,3500,Summer,High,4950
Padauk,9,450,3200,Winter,High,4900
Kadam,14,700,1800,Monsoon,Medium,4000
Semul,16,800,1500,Monsoon,Low,3750
Babool,10,600,2400,Summer,High,4600
Cherry,9,400,3000,Winter,Medium,4700
Walnut,8,350,3400,Summer,High,4900
Oak,9,700,3100,Winter,High,4800